"JURISDICTION","AREA_OF_LAW","YEAR","CATEGORY","ODP_CATEGORY","INCOMING","RESOLVED"
"High Court","Civil",2018,"Regulation Of Professions","Regulation Of Professions",188,159
"High Court","Civil",2018,"Habeas Corpus","Habeas Corpus",97,42
"High Court","Civil",2018,"Bail","Bail",1509,1439
"Circuit Court","Family",2018,"Dissolution Of Partnership","Dissolution Of Partnership",99,22
"Circuit Court","Family",2018,"Other","Other",59,59
"High Court","Family",2018,"Divorce","Divorce",24,27
"High Court","Civil",2018,"Examinership","Examinership",10,42
"High Court","Civil",2018,"Restrict Directors","Restrict Directors",10,13
"Circuit Court","Civil",2018,"Care Representatives","Care Representatives",625,554
"Circuit Court","Civil",2018,"Marriage Exemption","Marriage Exemption",483,441
"High Court","Civil",2018,"Probate: Principal Registry","Probate: Principal Registry",9150,10589
"Court Of Appeal","Civil",2018,"Contract","Contract",11,13
"Supreme Court","Supreme Court",2018,"Appeals (Current)","Appeals (Current)",58,67
